GENE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SMAGP,95.08420477646949,1.2324828976250921,0.3973532849838196,3.1017307373595244,0.0019239287016618515,0.026370869911699363
MIDEAS,1202.0261346880266,1.2303330940924309,0.3302116154770161,3.725892840913909,1.94625080065393e-4,0.004782644732908314
POLI,179.08378270649277,1.2290202096551293,0.3298431986488687,3.7260741306461513,1.9448522817205443e-4,0.004782644732908314
ZNF532,234.4120708421216,1.226600754245087,0.37424924227737255,3.2774969610653195,0.001047318579063919,0.016868764229120425
ACTR3C,125.62824609904932,1.2233803356755282,0.3359508963285843,3.6415450860383283,2.710066509319889e-4,0.006252759561937255
S1PR5,1077.8863136419557,1.219571060134826,0.43209959963443356,2.8224304330913794,0.004766116105560579,0.047998969986596404
FAM131A,88.63888155464407,1.218953176491505,0.4021727772048261,3.030919161071645,0.0024381051443423305,0.030531629080677823
H6PD,605.1146614234995,1.2116044023632113,0.3560708940084169,3.4027055363153917,6.672214853603197e-4,0.012147523201679448
TUBB2A,111.54976654896772,1.2015863284018828,0.40378999467740623,2.975770435723272,0.0029225354331815136,0.03449762348925684
PTPRCAP,3262.5668357881,1.1943063841526602,0.26092696045297487,4.577167426774598,4.71314238529791e-6,2.3243404251343746e-4
CCDC92,288.6969377473137,1.1885301426888761,0.3416523560276231,3.478770515467429,5.037197464043718e-4,0.010040114000901582
UBASH3B,791.2486302357207,1.186392404022197,0.29801688410562643,3.98095701048167,6.863836328980132e-5,0.0020818118810950717
ARID5A,991.5426631781893,1.1772942579947385,0.3715565353961799,3.1685467643286747,0.0015320310021099694,0.02243487439926548
SLC27A1,150.47109393575664,1.1706117769643962,0.33641787522089506,3.4796360811558,5.020953042508541e-4,0.010021654674970803
CPEB2,296.97894265678264,1.1685450449248802,0.27675629455539547,4.222288952098196,2.4183380423210385e-5,9.061506330378387e-4
MARCKSL1,152.53071240214345,1.1584214302977847,0.28454072893670596,4.071197239940533,4.677212436196304e-5,0.0015466054302270312
SLC66A3,366.2756170098896,1.142930261453413,0.2870347690692308,3.981853017875148,6.838006369167257e-5,0.0020790726568626974
GSTM4,131.09678193738407,1.1405087374618825,0.29634031759487106,3.848645188472397,1.1877289372114586e-4,0.0033145142612206577
ACTL10,69.0218258632486,1.1387268906878625,0.3611592737203164,3.152977020243147,0.0016161452873341572,0.023356798608794048
